dir,entry_time,entry,stop,target,exit_time,exit,lots,pnl,R,reason,bars
LONG,2016-02-12,1247.92,1186.53,1373.03,2016-05-10,1264.03,0.02,31.48,0.26,time,60
LONG,2016-06-16,1293.17,1270.14,1334.26,2016-06-21,1270.14,0.05,-117.02,-1.02,stop,2
LONG,2016-06-27,1326.11,1237.9,1471.21,2016-09-20,1313.18,0.01,-13.3,-0.15,time,60
SHORT,2016-10-05,1268.35,1320.75,1163.85,2016-11-09,1320.75,0.02,-105.54,-1.01,stop,24
SHORT,2016-11-14,1228.97,1276.47,1128.78,2016-12-15,1128.78,0.02,199.63,2.1,target,22
SHORT,2016-12-15,1142.16,1173.89,1081.03,2017-01-05,1173.89,0.04,-128.42,-1.01,stop,12
LONG,2017-02-07,1234.33,1211.59,1283.16,2017-03-08,1211.59,0.05,-115.53,-1.02,stop,20
SHORT,2017-03-08,1215.85,1233.8,1179.56,2017-03-20,1233.8,0.06,-109.92,-1.02,stop,7
LONG,2017-04-12,1273.74,1246.65,1328.48,2017-05-03,1246.65,0.04,-109.82,-1.01,stop,13
SHORT,2017-05-04,1237.87,1263.14,1189.37,2017-05-18,1263.14,0.04,-102.57,-1.01,stop,9
LONG,2017-06-05,1279.53,1252.76,1330.15,2017-06-15,1252.76,0.04,-108.54,-1.01,stop,7
SHORT,2017-06-20,1243.86,1261.88,1205.99,2017-07-10,1205.99,0.06,225.03,2.08,target,13
SHORT,2017-07-10,1213.48,1234.55,1167.51,2017-07-17,1234.55,0.05,-107.19,-1.02,stop,4
LONG,2017-07-27,1260.1,1237.79,1306.94,2017-08-28,1306.94,0.05,232.36,2.08,target,21
LONG,2017-08-29,1314.13,1285.39,1358.05,2017-09-27,1285.39,0.04,-116.44,-1.01,stop,20
LONG,2017-11-20,1293.14,1272.13,1338.07,2017-11-30,1272.13,0.05,-106.89,-1.02,stop,7
SHORT,2017-12-06,1265.99,1283.1,1230.78,2017-12-26,1283.1,0.07,-122.34,-1.02,stop,12
LONG,2018-01-02,1309.81,1288.49,1330.01,2018-01-12,1330.01,0.05,99.14,0.93,target,7
LONG,2018-01-15,1336.05,1315.57,1383.38,2018-02-07,1315.57,0.05,-104.27,-1.02,stop,16
LONG,2018-03-26,1348.15,1323.45,1395.64,2018-03-28,1323.45,0.04,-100.3,-1.01,stop,1
SHORT,2018-05-02,1304.61,1323.15,1265.71,2018-05-11,1323.15,0.06,-113.44,-1.02,stop,6
SHORT,2018-05-16,1290.69,1321.39,1229.52,2018-07-17,1229.52,0.03,182.39,1.98,target,43
SHORT,2018-07-18,1227.67,1250.51,1180.82,2018-08-15,1180.82,0.05,232.39,2.04,target,19
SHORT,2018-08-16,1175.55,1200.79,1122.37,2018-08-22,1200.79,0.04,-102.43,-1.01,stop,3
