dir,entry_time,entry,stop,target,exit_time,exit,lots,pnl,R,reason,bars
LONG,2019-02-08 16:00:00,1314.68,1300.91,1342.22,2019-02-20 00:00:00,1342.22,0.11,298.84,1.97,target,42
LONG,2019-03-21 04:00:00,1317.76,1296.07,1361.15,2019-03-28 12:00:00,1296.07,0.07,-154.45,-1.02,stop,31
SHORT,2019-04-01 04:00:00,1291.63,1310.15,1254.65,2019-04-10 20:00:00,1310.15,0.08,-151.11,-1.02,stop,45
LONG,2019-04-10 20:00:00,1309.91,1295.06,1339.61,2019-04-11 12:00:00,1295.06,0.11,-167.43,-1.02,stop,3
SHORT,2019-04-23 16:00:00,1267.57,1281.5,1239.85,2019-04-25 16:00:00,1281.5,0.11,-157.35,-1.03,stop,11
SHORT,2019-05-02 08:00:00,1274.53,1289.32,1244.95,2019-05-08 12:00:00,1289.32,0.1,-151.58,-1.03,stop,24
LONG,2019-05-13 04:00:00,1287.43,1278.34,1305.64,2019-05-17 16:00:00,1278.34,0.17,-160.79,-1.04,stop,26
SHORT,2019-05-28 20:00:00,1277.78,1288.96,1255.43,2019-05-30 16:00:00,1288.96,0.14,-161.66,-1.03,stop,10
LONG,2019-06-12 12:00:00,1337.6,1317.21,1378.37,2019-06-20 04:00:00,1378.37,0.07,282.81,1.98,target,33
LONG,2019-06-24 00:00:00,1399.87,1372.64,1450.76,2019-07-04 12:00:00,1411.98,0.05,58.7,0.43,time,50
LONG,2019-07-30 12:00:00,1426.71,1412.05,1456.03,2019-07-31 20:00:00,1412.05,0.1,-150.28,-1.03,stop,7
LONG,2019-08-02 20:00:00,1446.91,1395.49,1549.76,2019-08-15 08:00:00,1520.78,0.03,220.5,1.43,time,50
LONG,2019-08-16 00:00:00,1521.85,1490.81,1588.65,2019-08-28 12:00:00,1540.05,0.05,89.15,0.57,time,50
LONG,2019-08-29 08:00:00,1542.87,1524.38,1579.84,2019-08-29 20:00:00,1524.38,0.08,-150.84,-1.02,stop,2
LONG,2019-09-04 20:00:00,1547.49,1517.44,1607.6,2019-09-05 16:00:00,1517.44,0.05,-152.12,-1.01,stop,4
SHORT,2019-09-13 20:00:00,1490.14,1529.2,1412.12,2019-09-24 16:00:00,1529.2,0.04,-157.7,-1.01,stop,40
SHORT,2019-09-30 12:00:00,1487.46,1513.24,1435.92,2019-10-03 16:00:00,1513.24,0.06,-156.92,-1.01,stop,18
LONG,2019-10-09 00:00:00,1506.45,1482.48,1551.47,2019-10-11 12:00:00,1482.48,0.06,-146.01,-1.02,stop,14
SHORT,2019-10-21 20:00:00,1484.41,1498.06,1457.1,2019-10-24 16:00:00,1498.06,0.11,-154.25,-1.03,stop,16
LONG,2019-10-24 20:00:00,1501.01,1485.01,1533.08,2019-10-29 12:00:00,1485.01,0.09,-147.37,-1.02,stop,15
SHORT,2019-11-07 16:00:00,1484.74,1496.93,1460.36,2019-11-08 12:00:00,1460.36,0.12,288.17,1.97,target,4
SHORT,2019-11-18 12:00:00,1458.4,1477.17,1420.85,2019-11-20 08:00:00,1477.17,0.08,-153.14,-1.02,stop,10
SHORT,2019-11-21 20:00:00,1465.25,1481.63,1432.46,2019-12-03 16:00:00,1481.63,0.09,-150.75,-1.02,stop,45
LONG,2019-12-12 16:00:00,1482.86,1460.32,1527.49,2019-12-26 08:00:00,1504.48,0.06,127.5,0.94,time,50
LONG,2020-01-02 16:00:00,1528.04,1512.27,1559.58,2020-01-06 00:00:00,1559.58,0.09,280.56,1.98,target,7
LONG,2020-01-15 16:00:00,1554.76,1532.31,1599.65,2020-01-28 08:00:00,1579.12,0.06,143.94,1.07,time,50
LONG,2020-01-30 12:00:00,1579.95,1560.23,1619.54,2020-02-04 12:00:00,1560.23,0.07,-140.65,-1.02,stop,17
LONG,2020-02-10 12:00:00,1574.3,1556.88,1609.01,2020-02-19 08:00:00,1609.01,0.08,274.73,1.97,target,39
LONG,2020-02-27 16:00:00,1651.76,1618.14,1719.01,2020-02-28 12:00:00,1618.14,0.04,-135.98,-1.01,stop,4
SHORT,2020-02-28 20:00:00,1583.59,1669.04,1412.79,2020-03-05 20:00:00,1669.04,0.01,-85.82,-1.0,stop,23
LONG,2020-03-09 04:00:00,1700.97,1633.04,1836.83,2020-03-11 20:00:00,1633.04,0.02,-136.6,-1.01,stop,15
SHORT,2020-03-17 12:00:00,1470.83,1578.6,1255.14,2020-03-24 00:00:00,1578.6,0.01,-108.14,-1.0,stop,26
LONG,2020-03-26 16:00:00,1630.16,1583.31,1723.55,2020-03-31 20:00:00,1583.31,0.03,-141.65,-1.01,stop,18
LONG,2020-04-02 20:00:00,1612.95,1564.06,1710.6,2020-04-13 16:00:00,1710.6,0.03,291.85,1.99,target,34
LONG,2020-04-22 12:00:00,1696.12,1652.37,1783.97,2020-05-05 00:00:00,1701.13,0.03,13.92,0.11,time,50
LONG,2020-05-07 20:00:00,1715.53,1675.65,1795.04,2020-05-20 08:00:00,1746.99,0.03,93.27,0.78,time,50
SHORT,2020-06-05 16:00:00,1687.23,1727.33,1607.03,2020-06-10 20:00:00,1727.33,0.03,-121.41,-1.01,stop,18
LONG,2020-06-12 16:00:00,1737.39,1716.09,1780.14,2020-06-15 08:00:00,1716.09,0.07,-151.68,-1.02,stop,3
LONG,2020-06-18 12:00:00,1732.96,1708.27,1782.46,2020-06-30 16:00:00,1782.46,0.06,294.78,1.99,target,48
LONG,2020-06-30 20:00:00,1783.46,1760.59,1829.31,2020-07-01 16:00:00,1760.59,0.06,-139.42,-1.02,stop,4
LONG,2020-07-06 04:00:00,1775.71,1753.86,1819.42,2020-07-16 16:00:00,1805.23,0.07,204.05,1.33,time,50
LONG,2020-07-20 00:00:00,1808.04,1791.84,1845.35,2020-07-22 00:00:00,1845.35,0.09,332.47,2.28,target,11
LONG,2020-07-24 12:00:00,1895.39,1856.95,1972.27,2020-07-28 04:00:00,1972.27,0.04,306.06,1.99,target,9
LONG,2020-07-30 00:00:00,1971.04,1897.82,2116.82,2020-08-11 12:00:00,1989.29,0.02,35.76,0.24,time,50
SHORT,2020-08-25 20:00:00,1916.1,1969.98,1808.67,2020-08-27 16:00:00,1969.98,0.03,-162.75,-1.01,stop,10
LONG,2020-08-28 20:00:00,1969.59,1900.94,2106.92,2020-09-10 12:00:00,1946.25,0.02,-47.42,-0.35,time,50
LONG,2020-09-15 08:00:00,1965.86,1932.45,2032.67,2020-09-21 12:00:00,1932.45,0.04,-135.1,-1.01,stop,24
SHORT,2020-09-21 16:00:00,1922.06,1965.72,1834.64,2020-10-02 04:00:00,1900.5,0.03,63.57,0.49,time,50
LONG,2020-10-05 20:00:00,1916.3,1881.37,1986.16,2020-10-06 20:00:00,1881.37,0.04,-141.21,-1.01,stop,5
LONG,2020-10-19 12:00:00,1911.26,1892.43,1948.8,2020-10-26 00:00:00,1892.43,0.08,-153.6,-1.02,stop,26
SHORT,2020-10-29 00:00:00,1877.7,1916.1,1798.23,2020-11-04 00:00:00,1916.1,0.04,-155.08,-1.01,stop,23
LONG,2020-11-05 08:00:00,1909.47,1875.73,1976.92,2020-11-09 12:00:00,1875.73,0.04,-136.43,-1.01,stop,12
SHORT,2020-11-11 16:00:00,1858.54,1898.04,1779.57,2020-11-16 00:00:00,1898.04,0.03,-119.61,-1.01,stop,13
SHORT,2020-11-19 08:00:00,1862.41,1897.18,1792.86,2020-11-27 12:00:00,1792.86,0.04,276.72,1.99,target,35
SHORT,2020-11-27 16:00:00,1778.66,1823.32,1688.75,2020-12-02 08:00:00,1823.32,0.03,-135.08,-1.01,stop,15
LONG,2020-12-07 20:00:00,1865.46,1815.87,1964.61,2020-12-18 08:00:00,1882.73,0.03,50.7,0.34,time,50
LONG,2020-12-21 04:00:00,1896.58,1866.67,1956.52,2020-12-21 12:00:00,1866.67,0.05,-151.41,-1.01,stop,1
LONG,2020-12-24 20:00:00,1879.59,1852.15,1934.45,2021-01-04 08:00:00,1934.45,0.05,272.45,1.99,target,26
SHORT,2021-01-18 00:00:00,1828.39,1864.09,1754.77,2021-01-20 16:00:00,1864.09,0.04,-144.29,-1.01,stop,14
SHORT,2021-01-27 04:00:00,1846.11,1872.59,1793.03,2021-01-29 12:00:00,1872.59,0.05,-134.26,-1.01,stop,13
LONG,2021-01-29 16:00:00,1871.84,1828.25,1959.07,2021-02-04 00:00:00,1828.25,0.03,-131.87,-1.01,stop,19
SHORT,2021-02-11 20:00:00,1826.53,1860.54,1758.4,2021-02-24 12:00:00,1804.42,0.04,86.96,0.64,time,50
SHORT,2021-02-25 16:00:00,1781.43,1819.59,1705.11,2021-03-03 16:00:00,1705.11,0.04,303.81,1.99,target,23
SHORT,2021-03-03 16:00:00,1712.41,1746.91,1643.41,2021-03-16 04:00:00,1732.2,0.04,-80.64,-0.58,time,50
SHORT,2021-03-29 12:00:00,1724.81,1740.24,1693.95,2021-03-30 12:00:00,1693.95,0.1,304.89,1.98,target,5
LONG,2021-04-08 16:00:00,1747.48,1726.88,1788.53,2021-04-13 08:00:00,1726.88,0.07,-146.79,-1.02,stop,15
LONG,2021-04-14 00:00:00,1745.66,1719.65,1796.87,2021-04-21 16:00:00,1796.87,0.06,305.03,1.95,target,33
