dir,entry_time,entry,stop,target,exit_time,exit,lots,pnl,R,reason,bars
SHORT,2012-02-29 20:00:00,1721.65,1792.63,1579.4,2012-03-16 00:00:00,1657.96,0.02,126.64,0.89,time,60
SHORT,2012-03-22 12:00:00,1637.45,1657.44,1597.44,2012-03-23 12:00:00,1657.44,0.09,-183.24,-1.02,stop,5
LONG,2012-03-27 00:00:00,1690.17,1678.77,1714.43,2012-03-28 00:00:00,1678.77,0.16,-188.26,-1.03,stop,5
SHORT,2012-03-29 20:00:00,1651.09,1668.44,1616.45,2012-03-30 12:00:00,1668.44,0.1,-177.18,-1.02,stop,3
SHORT,2012-04-04 00:00:00,1645.64,1680.68,1573.97,2012-04-19 04:00:00,1641.7,0.05,17.85,0.1,time,60
SHORT,2012-04-23 16:00:00,1627.8,1638.21,1606.94,2012-04-23 20:00:00,1638.21,0.17,-183.34,-1.04,stop,0
LONG,2012-04-27 16:00:00,1662.99,1649.56,1689.77,2012-04-30 12:00:00,1649.56,0.13,-179.44,-1.03,stop,4
LONG,2012-05-01 16:00:00,1668.94,1655.75,1695.26,2012-05-02 08:00:00,1655.75,0.13,-176.27,-1.03,stop,3
SHORT,2012-05-03 12:00:00,1644.86,1652.4,1629.68,2012-05-04 08:00:00,1629.68,0.23,340.62,1.96,target,4
SHORT,2012-05-04 12:00:00,1628.3,1638.57,1607.78,2012-05-04 16:00:00,1638.57,0.17,-180.95,-1.04,stop,0
SHORT,2012-05-08 16:00:00,1615.03,1633.44,1578.34,2012-05-11 08:00:00,1578.34,0.09,326.91,1.97,target,15
SHORT,2012-05-11 12:00:00,1577.93,1591.27,1551.32,2012-05-15 08:00:00,1551.32,0.13,341.16,1.97,target,10
SHORT,2012-05-15 08:00:00,1554.08,1561.71,1538.73,2012-05-15 12:00:00,1561.71,0.24,-192.0,-1.05,stop,0
SHORT,2012-05-16 00:00:00,1544.33,1563.75,1503.76,2012-05-17 16:00:00,1563.75,0.09,-178.07,-1.02,stop,9
SHORT,2012-05-23 12:00:00,1555.24,1567.77,1530.42,2012-05-24 12:00:00,1567.77,0.14,-180.57,-1.03,stop,5
SHORT,2012-05-30 08:00:00,1547.98,1559.22,1525.56,2012-05-30 16:00:00,1559.22,0.16,-185.74,-1.03,stop,1
LONG,2012-06-01 20:00:00,1616.43,1574.09,1700.97,2012-06-08 04:00:00,1574.09,0.04,-170.85,-1.01,stop,25
