strategy,tf,period,cost,trades,win_rate,profit_factor,expectancy_R,avg_R,total_return_pct,cagr_pct,max_dd_pct,mar,sharpe,max_loss_streak,best_R,worst_R,avg_bars,end_equity
pullback,1d,full,realistic,98,40.8,1.33,0.127,0.13,14.5,0.6,-11.3,0.06,0.32,7,2.15,-1.04,26.5,11454.0
pullback,1d,full,pessimistic,98,40.8,1.33,0.121,0.12,14.6,0.6,-11.0,0.06,0.33,7,2.14,-1.06,26.5,11456.0
pullback,1d,IS_2004_2018,ideal,70,37.1,1.1,0.036,0.04,3.2,0.2,-8.4,0.03,0.12,7,2.18,-1.0,27.3,10320.0
pullback,1d,IS_2004_2018,realistic,70,37.1,1.04,0.025,0.02,1.5,0.1,-9.6,0.01,0.07,7,2.15,-1.04,27.3,10147.0
pullback,1d,IS_2004_2018,pessimistic,70,37.1,1.05,0.018,0.02,1.6,0.1,-9.3,0.01,0.07,7,2.14,-1.06,27.3,10158.0
pullback,1d,OOS_2019_2026,ideal,28,46.4,1.93,0.285,0.29,10.3,1.4,-4.9,0.28,0.65,6,2.08,-1.0,23.9,11026.0
pullback,1d,OOS_2019_2026,realistic,28,46.4,1.91,0.278,0.28,10.1,1.4,-4.9,0.28,0.64,6,2.07,-1.01,23.9,11011.0
pullback,1d,OOS_2019_2026,pessimistic,28,46.4,1.9,0.274,0.27,10.0,1.4,-4.9,0.27,0.63,6,2.07,-1.02,23.9,11002.0
donchian,4h,full,ideal,3613,69.6,1.09,0.032,0.03,165.9,4.6,-26.6,0.17,0.58,10,13.7,-2.12,4.4,26589.0
donchian,4h,full,realistic,3613,69.1,0.99,0.001,0.0,-11.4,-0.6,-42.1,-0.01,-0.01,10,13.69,-2.15,4.4,8860.0
donchian,4h,full,pessimistic,3613,68.4,0.94,-0.019,-0.02,-42.7,-2.5,-66.5,-0.04,-0.25,10,13.68,-2.17,4.4,5733.0
donchian,4h,IS_2004_2018,ideal,2375,69.2,1.07,0.029,0.03,79.9,4.1,-15.5,0.27,0.53,10,4.96,-2.12,4.7,17985.0
donchian,4h,IS_2004_2018,realistic,2375,68.4,0.97,-0.009,-0.01,-24.0,-1.9,-26.9,-0.07,-0.17,10,4.91,-2.15,4.7,7598.0
donchian,4h,IS_2004_2018,pessimistic,2375,67.5,0.9,-0.033,-0.03,-52.2,-4.9,-53.1,-0.09,-0.57,10,4.89,-2.17,4.7,4781.0
donchian,4h,OOS_2019_2026,ideal,1234,70.4,1.12,0.04,0.04,47.3,5.6,-25.7,0.22,0.67,5,13.7,-1.95,3.9,14733.0
donchian,4h,OOS_2019_2026,realistic,1234,70.3,1.06,0.02,0.02,18.9,2.5,-29.7,0.08,0.35,5,13.69,-1.97,3.9,11892.0
donchian,4h,OOS_2019_2026,pessimistic,1234,70.1,1.01,0.007,0.01,3.9,0.5,-35.2,0.02,0.12,5,13.68,-1.98,3.9,10386.0
donchian,1d,full,ideal,759,74.6,1.13,0.04,0.04,26.6,1.1,-8.9,0.12,0.35,4,6.27,-1.98,3.5,12660.0
donchian,1d,full,realistic,759,74.3,1.1,0.028,0.03,18.1,0.8,-8.3,0.09,0.26,4,6.27,-1.99,3.5,11807.0
donchian,1d,full,pessimistic,759,74.0,1.08,0.021,0.02,14.7,0.6,-8.3,0.08,0.21,4,6.27,-1.99,3.5,11467.0
donchian,1d,IS_2004_2018,ideal,512,75.0,1.06,0.025,0.02,8.0,0.5,-8.9,0.06,0.19,3,2.73,-1.91,3.5,10802.0
donchian,1d,IS_2004_2018,realistic,512,74.6,1.02,0.01,0.01,2.5,0.2,-8.3,0.02,0.08,3,2.72,-1.92,3.5,10251.0
donchian,1d,IS_2004_2018,pessimistic,512,74.2,1.0,0.002,0.0,-0.5,-0.0,-8.3,-0.0,0.01,3,2.71,-1.92,3.5,9952.0
donchian,1d,OOS_2019_2026,ideal,242,73.1,1.27,0.067,0.07,16.7,2.2,-6.3,0.35,0.62,4,6.27,-1.98,3.4,11668.0
donchian,1d,OOS_2019_2026,realistic,242,73.1,1.24,0.06,0.06,14.7,2.0,-6.4,0.3,0.55,4,6.27,-1.99,3.4,11468.0
donchian,1d,OOS_2019_2026,pessimistic,242,73.1,1.21,0.055,0.05,12.8,1.7,-6.5,0.26,0.48,4,6.27,-1.99,3.4,11281.0
donchian,1w,full,ideal,163,74.8,1.64,0.114,0.11,26.0,1.1,-9.0,0.12,0.47,4,2.56,-1.89,2.8,12599.0
donchian,1w,full,realistic,163,74.8,1.62,0.108,0.11,25.1,1.0,-9.3,0.11,0.46,4,2.56,-1.89,2.8,12514.0
donchian,1w,full,pessimistic,163,74.8,1.6,0.105,0.1,24.5,1.0,-9.4,0.11,0.45,4,2.56,-1.89,2.8,12452.0
donchian,1w,IS_2004_2018,ideal,107,73.8,1.15,0.061,0.06,4.1,0.3,-7.7,0.04,0.17,4,2.55,-1.67,2.5,10410.0
donchian,1w,IS_2004_2018,realistic,107,73.8,1.13,0.054,0.05,3.5,0.2,-7.8,0.03,0.14,4,2.54,-1.67,2.5,10348.0
donchian,1w,IS_2004_2018,pessimistic,107,73.8,1.11,0.049,0.05,3.0,0.2,-7.9,0.03,0.13,4,2.53,-1.68,2.5,10300.0
donchian,1w,OOS_2019_2026,ideal,51,76.5,2.78,0.243,0.24,22.0,2.9,-5.1,0.56,0.88,4,2.56,-1.89,3.6,12203.0
donchian,1w,OOS_2019_2026,realistic,51,76.5,2.76,0.24,0.24,21.8,2.8,-5.1,0.56,0.87,4,2.56,-1.89,3.6,12184.0
donchian,1w,OOS_2019_2026,pessimistic,51,76.5,2.75,0.238,0.24,21.7,2.8,-5.1,0.55,0.87,4,2.56,-1.89,3.6,12172.0
ma_cross,4h,full,ideal,198,40.4,1.77,0.294,0.29,69.1,2.5,-6.2,0.4,0.66,8,7.84,-1.74,21.3,16913.0
ma_cross,4h,full,realistic,198,40.4,1.67,0.265,0.27,59.6,2.2,-6.1,0.36,0.6,8,7.81,-1.76,21.3,15959.0
ma_cross,4h,full,pessimistic,198,40.4,1.62,0.247,0.25,55.8,2.1,-6.4,0.32,0.56,8,7.8,-1.77,21.3,15582.0
ma_cross,4h,IS_2004_2018,ideal,138,44.2,1.72,0.282,0.28,41.3,2.4,-6.0,0.4,0.69,7,6.32,-1.35,21.4,14132.0
ma_cross,4h,IS_2004_2018,realistic,138,44.2,1.6,0.248,0.25,35.4,2.1,-6.1,0.35,0.61,7,6.29,-1.38,21.4,13540.0
ma_cross,4h,IS_2004_2018,pessimistic,138,44.2,1.54,0.227,0.23,32.5,2.0,-6.3,0.31,0.56,7,6.28,-1.4,21.4,13248.0
ma_cross,4h,OOS_2019_2026,ideal,65,32.3,1.83,0.293,0.29,18.9,2.5,-5.8,0.43,0.61,8,7.84,-1.74,20.7,11893.0
ma_cross,4h,OOS_2019_2026,realistic,65,32.3,1.76,0.274,0.27,17.6,2.3,-5.8,0.4,0.57,8,7.81,-1.76,20.7,11758.0
ma_cross,4h,OOS_2019_2026,pessimistic,65,32.3,1.71,0.262,0.26,16.8,2.2,-5.9,0.38,0.55,8,7.8,-1.77,20.7,11685.0
ma_cross,1d,full,ideal,22,40.9,1.07,-0.028,-0.03,0.4,0.0,-3.2,0.01,0.04,6,2.54,-1.12,15.5,10043.0
ma_cross,1d,full,realistic,22,40.9,1.02,-0.042,-0.04,0.2,0.0,-3.2,0.0,0.02,6,2.52,-1.12,15.5,10016.0
ma_cross,1d,full,pessimistic,22,40.9,1.0,-0.051,-0.05,-0.0,-0.0,-3.3,-0.0,0.0,6,2.51,-1.13,15.5,9999.0
ma_cross,1d,IS_2004_2018,ideal,11,54.5,2.22,0.279,0.28,2.9,0.2,-1.0,0.19,0.3,1,2.54,-1.12,16.5,10286.0
ma_cross,1d,IS_2004_2018,realistic,11,54.5,2.08,0.258,0.26,2.6,0.2,-1.1,0.17,0.28,1,2.52,-1.12,16.5,10264.0
ma_cross,1d,IS_2004_2018,pessimistic,11,54.5,2.0,0.245,0.25,2.5,0.2,-1.1,0.15,0.27,1,2.51,-1.13,16.5,10251.0
ma_cross,1d,OOS_2019_2026,ideal,13,30.8,0.68,-0.237,-0.24,-1.6,-0.2,-3.3,-0.07,-0.26,6,1.95,-1.14,15.3,9839.0
ma_cross,1d,OOS_2019_2026,realistic,13,30.8,0.67,-0.245,-0.25,-1.7,-0.2,-3.3,-0.07,-0.27,6,1.94,-1.15,15.3,9831.0
