dir,entry_time,entry,stop,target,exit_time,exit,lots,pnl,R,reason,bars
SHORT,2007-08-17 04:00:00,648.4,659.2,,2007-08-17 12:00:00,658.61,0.1,-105.85,-0.98,stop,1
LONG,2007-08-31 16:00:00,672.2,665.29,,2007-09-13 12:00:00,703.52,0.15,464.24,4.48,stop,52
SHORT,2008-03-31 04:00:00,931.3,952.01,,2008-04-02 20:00:00,901.46,0.05,147.37,1.42,stop,15
LONG,2008-05-22 08:00:00,932.6,917.23,,2008-05-27 12:00:00,915.15,0.07,-124.74,-1.16,stop,18
SHORT,2008-05-30 16:00:00,883.8,900.78,,2008-06-06 12:00:00,884.38,0.06,-5.7,-0.06,stop,28
LONG,2008-06-27 08:00:00,912.5,895.54,,2008-07-07 04:00:00,925.29,0.06,74.54,0.73,stop,34
SHORT,2008-07-31 20:00:00,913.5,931.38,,2008-08-14 00:00:00,829.46,0.06,502.04,4.68,stop,54
LONG,2008-09-22 20:00:00,900.8,853.56,,2008-09-30 16:00:00,875.55,0.02,-51.25,-0.54,stop,34
SHORT,2008-10-17 00:00:00,800.2,847.18,,2008-10-24 16:00:00,727.42,0.02,144.82,1.54,stop,33
LONG,2008-11-26 00:00:00,816.0,789.21,,2008-12-01 12:00:00,788.24,0.04,-112.51,-1.05,stop,14
SHORT,2008-12-08 08:00:00,768.1,792.75,,2008-12-10 12:00:00,791.34,0.04,-94.44,-0.96,stop,12
LONG,2008-12-10 16:00:00,804.0,779.56,,2008-12-18 16:00:00,849.1,0.04,178.91,1.83,stop,35
SHORT,2009-04-02 20:00:00,905.8,927.43,,2009-04-13 12:00:00,891.74,0.05,68.44,0.63,stop,39
LONG,2009-05-08 00:00:00,911.4,893.66,,2009-05-18 12:00:00,919.54,0.06,46.61,0.44,stop,38
SHORT,2009-06-22 16:00:00,920.6,934.55,,2009-06-24 08:00:00,929.03,0.08,-70.36,-0.63,stop,9
LONG,2009-07-20 20:00:00,949.36,937.95,,2009-07-28 12:00:00,945.72,0.1,-40.06,-0.35,stop,33
SHORT,2009-12-21 04:00:00,1115.4,1139.86,,2009-12-24 04:00:00,1102.5,0.04,50.11,0.51,stop,17
LONG,2010-01-08 20:00:00,1135.9,1116.57,,2010-01-12 16:00:00,1137.73,0.06,8.79,0.08,stop,10
SHORT,2010-01-22 08:00:00,1094.67,1114.76,,2010-02-01 16:00:00,1098.17,0.05,-19.33,-0.19,stop,37
LONG,2010-02-22 04:00:00,1126.53,1104.32,,2010-02-23 16:00:00,1101.71,0.05,-125.93,-1.13,stop,8
SHORT,2010-02-25 16:00:00,1096.88,1117.09,,2010-02-25 20:00:00,1107.5,0.05,-54.95,-0.54,signal,0
LONG,2010-02-25 20:00:00,1107.5,1086.23,,2010-03-08 16:00:00,1123.96,0.05,80.47,0.76,stop,40
SHORT,2010-03-23 20:00:00,1102.21,1117.57,,2010-03-26 16:00:00,1102.97,0.07,-7.93,-0.07,stop,16
