dir,entry_time,entry,stop,target,exit_time,exit,lots,pnl,R,reason,bars
LONG,2021-05-04,1792.58,1744.94,1889.23,2021-05-19,1889.23,0.02,192.57,2.02,target,10
SHORT,2021-07-27,1797.99,1844.32,1704.32,2021-08-09,1704.32,0.02,186.61,2.01,target,8
SHORT,2021-08-09,1761.08,1843.16,1603.22,2021-10-19,1764.93,0.01,-4.22,-0.05,time,50
LONG,2021-10-26,1807.45,1739.9,1942.49,2022-01-06,1810.06,0.01,2.24,0.03,time,50
LONG,2022-01-13,1825.78,1773.12,1932.17,2022-02-24,1932.17,0.02,212.05,2.01,target,29
LONG,2022-03-02,1942.98,1835.29,2164.94,2022-05-11,1835.29,0.01,-108.06,-1.0,stop,48
SHORT,2022-06-30,1817.97,1869.01,1716.73,2022-07-13,1716.73,0.02,201.75,1.98,target,8
SHORT,2022-09-14,1701.26,1746.28,1614.4,2022-11-10,1746.28,0.02,-90.78,-1.01,stop,40
LONG,2022-12-02,1802.12,1715.23,1978.11,2023-02-15,1853.97,0.01,51.48,0.59,time,50
LONG,2023-04-05,2021.09,1918.1,2225.4,2023-06-16,1957.12,0.01,-64.34,-0.62,time,50
LONG,2023-07-27,1971.43,1936.4,2044.0,2023-08-02,1936.4,0.03,-106.19,-1.01,stop,3
SHORT,2023-09-27,1900.58,1954.68,1792.37,2023-10-18,1954.68,0.02,-108.95,-1.01,stop,14
LONG,2023-11-22,1998.61,1920.17,2154.45,2024-02-05,2040.01,0.01,41.03,0.52,time,50
LONG,2024-02-26,2034.32,1973.89,2158.77,2024-03-07,2158.77,0.01,124.08,2.05,target,7
LONG,2024-03-21,2187.18,2132.11,2294.5,2024-04-03,2294.5,0.02,213.9,1.94,target,7
LONG,2024-05-16,2385.6,2259.23,2638.81,2024-07-26,2364.05,0.01,-21.92,-0.17,time,50
LONG,2024-08-13,2471.08,2344.09,2727.9,2024-10-21,2727.9,0.01,256.45,2.02,target,48
LONG,2024-11-25,2692.25,2517.44,3111.15,2025-02-06,2864.94,0.01,172.32,0.99,time,50
LONG,2025-02-19,2935.73,2814.55,3176.14,2025-04-10,3176.14,0.01,240.04,1.98,target,35
LONG,2025-05-30,3318.43,3117.28,3718.11,2025-08-11,3400.5,0.01,81.7,0.41,time,50
LONG,2025-08-27,3390.76,3291.99,3594.9,2025-09-05,3594.9,0.01,203.77,2.06,target,6
LONG,2025-12-01,4223.19,3955.99,4745.11,2026-01-22,4745.11,0.01,521.55,1.95,target,29
